Spanish,English
como,as
I,I
su,his
que,that
‚l,he
era,was
para,for
en,on
son,are
con,with
ellos,they
ser,be
en,at
uno,one
tener,have
este,this
desde,from
por,by
caliente,hot
palabra,word
pero,but
qu‚,what
algunos,some
es,is
lo,it
usted,you
o,or
tenido,had
la,the
de,of
a,to
y,and
un,a
en,in
nos,we
lata,can
fuera,out
otros,other
eran,were
que,which
hacer,do
su,their
tiempo,time
si,if
lo har ,will
c¢mo,how
dicho,said
un,an
cada,each
decir,tell
hace,does
conjunto,set
tres,three
querer,want
aire,air
as¡,well
tambi‚n,also
jugar,play
peque¤o,small
fin,end
poner,put
casa,home
leer,read
mano,hand
puerto,port
grande,large
deletrear,spell
a¤adir,add
incluso,even
tierra,land
aqu¡,here
debe,must
grande,big
alto,high
tal,such
siga,follow
acto,act
por qu‚,why
preguntar,ask
hombres,men
cambio,change
se fue,went
luz,light
tipo,kind
fuera,off
necesitar ,need
casa,house
imagen,picture
tratar,try
nosotros,us
de nuevo,again
animal,animal
punto,point
madre,mother
mundo,world
cerca,near
construir,build
auto,self
tierra,earth
padre,father
cualquier,any
nuevo,new
trabajo,work
parte,part
tomar,take
conseguir,get
lugar,place
hecho,made
vivir,live
donde,where
despu‚s,after
espalda,back
poco,little
s¢lo,only
ronda,round
hombre,man
a¤os,year
vino,came
show,show
cada,every
buena,good
me,me
dar,give
nuestro,our
bajo,under
nombre,name
muy,very
a trav‚s de,through
s¢lo,just
forma,form
frase,sentence
gran,great
pensar,think
decir,say
ayudar,help
bajo,low
l¡nea,line
ser distinto,differ
"a su vez,",turn
causa,cause
mucho,much
significar ,mean
antes,before
movimiento,move
derecho,right
ni¤o,boy
viejo,old
demasiado,too
misma,same
ella,she
todo,all
hay,there
cuando,when
hasta,up
uso,use
su,your
camino,way
acerca,about
muchos,many
entonces,then
ellos,them
escribir,write
har¡a,would
como,like
as¡,so
‚stos,these
su,her
largo,long
hacer,make
cosa,thing
ver,see
‚l,him
dos,two
tiene,has
buscar,look
m s,more
d¡a,day
pod¡a,could
ir,go
venir,come
hizo,did
n£mero,number
sonar,sound
no,no
m s,most
personas,people
mi,my
sobre,over
saber,know
agua,water
que,than
llamada,call
primero,first
que,who
puede,may
abajo,down
lado,side
estado,been
ahora,now
encontrar,find
cabeza,head
de pie,stand
propio,own
p gina,page
deber¡a,should
pa¡s,country
encontrado,found
respuesta,answer
escuela,school
crecer,grow
estudio,study
todav¡a,still
aprender,learn
planta,plant
cubierta,cover
alimentos,food
sol,sun
cuatro,four
entre,between
estado,state
mantener,keep
ojo,eye
nunca,never
£ltimo,last
dejar,let
pensado,thought
ciudad,city
 rbol,tree
cruzar,cross
granja,farm
duro,hard
inicio,start
podr¡a,might
historia,story
sierra,saw
ahora,far
mar,sea
dibujar,draw
izquierda,left
tarde,late
ejecutar,run
no,don?t
mientras,while
prensa,press
Cerrar,close
noche,night
reales,real
vida,life
pocos,few
norte,north
libro,book
llevar,carry
tom¢,took
ciencia,science
comer,eat
habitaci¢n,room
amigo,friend
comenz¢,began
gusta,idea
peces,fish
monta¤a,mountain
Det‚ngase,stop
una vez,once
base de,base
escuchar,hear
caballo,horse
cortada,cut
seguro,sure
ver,watch
colores,color
cara,face
madera,wood
principal,main
abierta,open
parecer,seem
juntos,together
pr¢ximo,next
blanco,white
ni¤os,children
comenzar,begin
conseguido,got
caminar,walk
ejemplo,example
aliviar,ease
papel,paper
grupo,group
siempre,always
m£sica,music
los,those
ambos,both
marca,mark
menudo,often
carta,letter
hasta,until
milla,mile
r¡o,river
coche,car
pies,feet
cuidado,care
segundo,second
suficiente,enough
llano,plain
chica,girl
habitual,usual
joven,young
listo,ready
por encima de,above
nunca,ever
rojo,red
lista,list
aunque,though
sentir,feel
charla,talk
p jaro,bird
pronto,soon
cuerpo,body
perro,dog
familia,family
directa,direct
plantear,pose
dejar,leave
canci¢n,song
medir,measure
puerta,door
producto,product
negro,black
corto,short
numeral,numeral
clase,class
viento,wind
pregunta,question
suceder,happen
completo,complete
buque,ship
zona,area
medio,half
roca,rock
